"","X","Title","Artist","ConstituentID","ArtistBio","Nationality","BeginDate","EndDate","Gender","Date","Medium","Dimensions","CreditLine","AccessionNumber","Classification","Department","DateAcquired","Cataloged","ObjectID","URL","ThumbnailURL","Circumference..cm.","Depth..cm.","Diameter..cm.","Height..cm.","Length..cm.","Weight..kg.","Width..cm.","Seat.Height..cm.","Duration..sec.."
"1730",74676,"Portrait of Mistress Mills in 1750","Joan Miró","4016","Spanish, 1893–1983","Spanish","1893","1983","Male","Paris, winter-spring 1929","Oil on canvas","46 x 35 1/4"" (116.7 x 89.6 cm)","James Thrall Soby Bequest","1236.1979","Painting","Painting & Sculpture","1979-12-11","Y",80603,"http://www.moma.org/collection/works/80603","http://www.moma.org/media/W1siZiIsIjIzMjcxNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=667e416b7655354d",NA,NA,NA,116.7,NA,NA,89.6,NA,NA
"1731",74677,"Self-Portrait I","Joan Miró","4016","Spanish, 1893–1983","Spanish","1893","1983","Male","Paris, October 1937 - March 1938","Pencil, crayon and oil on canvas","57 1/2 x 38 1/4"" (146.1 x 97.2 cm)","James Thrall Soby Bequest","1238.1979","Painting","Painting & Sculpture","1979-12-11","Y",80604,"http://www.moma.org/collection/works/80604","http://www.moma.org/media/W1siZiIsIjE1MTAwMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=9e9e4ed8b1fa9d48",NA,NA,NA,146.1,NA,NA,97.2,NA,NA
"1732",74678,"Still Life","Giorgio Morandi","4079","Italian, 1890–1964","Italian","1890","1964","Male","1949","Oil on canvas","14 1/4 x 17 1/4"" (36 x 43.7 cm)","James Thrall Soby Bequest","1240.1979","Painting","Painting & Sculpture","1979-12-11","Y",80607,"http://www.moma.org/collection/works/80607","http://www.moma.org/media/W1siZiIsIjE1MTAwMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=aec4cb354b447a46",NA,NA,NA,36,NA,NA,43.7,NA,NA
"1733",74679,"Square Motif in Brown, White, Black, Blue, and Ochre","Victor Pasmore","4515","British, 1908–1998","British","1908","1998","Male","1948/53","Paper collage and oil on canvas","25 x 30"" (63.5 x 76.1 cm)","Gift of Mr. and Mrs. Allan D. Emil","1241.1964","Painting","Painting & Sculpture","1964-12-08","Y",80608,"http://www.moma.org/collection/works/80608","http://www.moma.org/media/W1siZiIsIjIwOTU4NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=8596059af4eed256",NA,NA,NA,63.5,NA,NA,76.1,NA,NA
"1734",74680,"Nude Seated on a Rock","Pablo Picasso","4609","Spanish, 1881–1973","Spanish","1881","1973","Male","Fontainebleau, summer 1921","Oil on wood","6 1/4 x 4 3/8"" (15.8 x 11.1 cm)","James Thrall Soby Bequest","1242.1979","Painting","Painting & Sculpture","1979-12-11","Y",80609,"http://www.moma.org/collection/works/80609","http://www.moma.org/media/W1siZiIsIjIxMjAwMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c644370f6334e7d9",NA,NA,NA,15.8,NA,NA,11.1,NA,NA
"1735",74681,"The Sigh","Pablo Picasso","4609","Spanish, 1881–1973","Spanish","1881","1973","Male","Paris, 1923","Oil and charcoal on canvas","23 3/4 x 19 3/4"" (60.3 x 50.2 cm)","James Thrall Soby Bequest","1243.1979","Painting","Painting & Sculpture","1979-12-11","Y",80611,"http://www.moma.org/collection/works/80611","http://www.moma.org/media/W1siZiIsIjE1MTAwMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=99a2a654a48f3f6b",NA,NA,NA,60.3,NA,NA,50.2,NA,NA
"1736",74682,"""For Greg""","Joanna Pousette-Dart","4715","American, born 1947","American","1947","0","Female","1977-78","Oil on canvas, two panels","Each 7' x 7' (213.2 x 213.2 cm), overall 7 x 14' (213.2 x 426.4 cm)","Mrs. Alfred A. Knopf Fund","1245.1979.a-b","Painting","Painting & Sculpture","1979-12-11","Y",80612,"http://www.moma.org/collection/works/80612","http://www.moma.org/media/W1siZiIsIjE3MDk3NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=7f7c79e323793da4",NA,NA,NA,172.7,NA,NA,172.7,NA,NA
"1737",74683,"Watching the Clock","Kay Sage","16189","American, 1898–1963","American","1898","1963","Female","1958","Oil on canvas","14 x 14"" (35.6 x 35.6 cm)","James Thrall Soby Bequest","1248.1979","Painting","Painting & Sculpture","1979-12-11","Y",80614,"http://www.moma.org/collection/works/80614","http://www.moma.org/media/W1siZiIsIjE2NTc2MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1d0e39d23a780953",NA,NA,NA,35.6,NA,NA,35.6,NA,NA
"1738",74684,"Dunes","Augustus Vincent Tack","5774","American, 1870–1949","American","1870","1949","Male","1935","Oil on canvas, mounted on board","6' 1/8"" x 47 3/4"" (183 x 121.5 cm)","Enid A. Haupt Fund","1250.1979","Painting","Painting & Sculpture","1979-12-11","Y",80615,"http://www.moma.org/collection/works/80615","http://www.moma.org/media/W1siZiIsIjIyMDM0NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=e30d6beba271dd82",NA,NA,NA,183,NA,NA,121.5,NA,NA
"1739",74685,"Blue Vase","René Pierre Tal-Coat","5790","French, 1905–1985","French","1905","1985","Male","n.d.","Oil on canvas","5 3/4 x 7 1/4"" (14.5 x 18.3 cm)","James Thrall Soby Bequest","1251.1979","Painting","Painting & Sculpture","1979-12-11","Y",80616,"http://www.moma.org/collection/works/80616","http://www.moma.org/media/W1siZiIsIjIwOTU4NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=b1230d0f7550e8f0",NA,NA,NA,14.5,NA,NA,18.3,NA,NA
"1740",74686,"The Mood of Now","Yves Tanguy","5804","American, born France. 1900–1955","American","1900","1955","Male","1928","Oil on canvas","39 1/2 x 28 7/8"" (100.1 x 73.3 cm)","James Thrall Soby Bequest","1252.1979","Painting","Painting & Sculpture","1979-12-11","Y",80617,"http://www.moma.org/collection/works/80617","http://www.moma.org/media/W1siZiIsIjE1NjM4NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=e3150869ac01d11b",NA,NA,NA,100.1,NA,NA,73.3,NA,NA
"1741",74687,"Still Life","Tom Wesselmann","6318","American, 1931–2004","American","1931","2004","Male","1969-70","Oil on canvas and base of synthetic polymer paint on carpet, in six sections","Overall 10' 3 1/8"" x 16' 2 7/8"" x 6' (312.5 x 495 x 182.8 cm)","Gift of the artist","1253.1969.a-g","Painting","Painting & Sculpture","1971-01-12","Y",80618,"http://www.moma.org/collection/works/80618","http://www.moma.org/media/W1siZiIsIjI2MzI2NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=6acce122a29aed8e",NA,182.8,NA,312.5,NA,NA,495,NA,NA
"1742",74688,"Madame Bonjean","Pavel Tchelitchew","5821","American, born Russia. 1898–1957","American","1898","1957","Male","1931","Oil on canvas","51 1/4 x 38 1/8"" (130.1 x 96.7 cm)","James Thrall Soby Bequest","1253.1979","Painting","Painting & Sculpture","1979-12-11","Y",80619,"http://www.moma.org/collection/works/80619","http://www.moma.org/media/W1siZiIsIjIzNTMxNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=ef136a27b2ad0356",NA,NA,NA,130.1,NA,NA,96.7,NA,NA
"1743",74689,"Map of the World","Alighiero Boetti","630","Italian, 1940–1994","Italian","1940","1994","Male","1989","Embroidery on fabric","46 1/4"" x 7' 3 3/4"" x 2"" (117.5 x 227.7 x 5.1 cm)","Scott Burton Fund","1253.1999","Painting","Painting & Sculpture","1999-12-06","Y",80620,"http://www.moma.org/collection/works/80620","http://www.moma.org/media/W1siZiIsIjE1MTAwNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=fd6acce42ecdf880",NA,5.1,NA,117.5,NA,NA,227.7,NA,NA
"1744",74690,"Open No. 17: In Ultramarine with Charcoal Line","Robert Motherwell","4126","American, 1915–1991","American","1915","1991","Male","1968","Synthetic polymer paint and charcoal on canvas","8' 3"" x 16' 9"" (251.4 x 510.3 cm)","Gift of the artist","1254.1969","Painting","Painting & Sculpture","1969-12-31","Y",80621,"http://www.moma.org/collection/works/80621","http://www.moma.org/media/W1siZiIsIjE1MTAwNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d15ecb39aaa87ea7",NA,NA,NA,251.4,NA,NA,510.3,NA,NA
"1745",74691,"Leaf Children","Pavel Tchelitchew","5821","American, born Russia. 1898–1957","American","1898","1957","Male","1940","Oil on canvas","16 1/2 x 14 1/2"" (41.7 x 36.7 cm)","James Thrall Soby Bequest","1254.1979","Painting","Painting & Sculpture","1979-12-11","Y",80622,"http://www.moma.org/collection/works/80622","http://www.moma.org/media/W1siZiIsIjE2NTc2MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=30ececf72c8109cf",NA,NA,NA,41.7,NA,NA,36.7,NA,NA
"1746",74692,"Gigantomachy I","Leon Golub","2223","American, 1922–2004","American","1922","2004","Male","1965","Synthetic polymer paint on linen","10' 3/4"" x 24' 4 1/2"" (306.7 x 743 cm)","Gift of Ulrich and Harriet Meyer","1254.1999","Painting","Painting & Sculpture","1999-12-06","Y",80623,"http://www.moma.org/collection/works/80623","",NA,NA,NA,306.7,NA,NA,743,NA,NA
